<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
24.09.2020,14:24:00,110817,115199,108013,108013,23
24.09.2020,14:25:00,110542,115299,108097,111792,58
24.09.2020,14:26:00,108336,115287,108020,108485,50
24.09.2020,14:27:00,110877,115268,108029,114388,54
24.09.2020,14:28:00,114859,115113,107961,110007,86
24.09.2020,14:29:00,112954,115298,107962,115045,15
24.09.2020,14:30:00,110868,115181,108094,114862,79
24.09.2020,14:31:00,109238,114725,107974,111954,96
24.09.2020,14:32:00,114024,115273,107912,113547,91
24.09.2020,14:33:00,111281,115249,107995,110754,66
24.09.2020,14:34:00,108954,114624,108031,111734,79
24.09.2020,14:35:00,112122,115214,107972,113526,1
24.09.2020,14:36:00,108472,115271,108090,112957,40
24.09.2020,14:37:00,111270,115136,108218,111816,22
24.09.2020,14:38:00,114581,115245,107925,115010,30
24.09.2020,14:39:00,112720,115256,108126,111400,42
24.09.2020,14:40:00,112682,115228,108022,110248,35
24.09.2020,14:41:00,109322,115273,107916,110010,72
24.09.2020,14:42:00,111458,115265,107975,112300,5
24.09.2020,14:43:00,114621,115290,107926,110609,4
24.09.2020,14:44:00,110697,115291,108309,115031,97
24.09.2020,14:45:00,113782,115264,108001,110452,73
24.09.2020,14:46:00,110188,115087,108138,113739,75
24.09.2020,14:47:00,110376,115176,108018,109839,13
24.09.2020,14:48:00,113839,115118,107900,113761,53
24.09.2020,14:49:00,109662,115195,108014,113211,96
24.09.2020,14:50:00,107936,115295,107918,114690,66
24.09.2020,14:51:00,114237,115141,108265,112828,78
24.09.2020,14:52:00,110699,115298,108215,110575,49
24.09.2020,14:53:00,112217,115228,108292,109345,25
24.09.2020,14:54:00,110494,115261,107946,110410,24
24.09.2020,14:55:00,109504,115215,107932,109104,59
24.09.2020,14:56:00,108841,115161,108075,111244,25
24.09.2020,14:57:00,111915,115290,107948,114901,90
24.09.2020,14:58:00,110568,115146,108149,113017,49
24.09.2020,14:59:00,108609,115013,108256,109101,41
24.09.2020,15:00:00,108453,115160,108058,109689,47
24.09.2020,15:01:00,114917,115044,108130,113488,73
24.09.2020,15:02:00,109537,115183,108082,113927,31
24.09.2020,15:03:00,110898,115163,108315,108315,63
24.09.2020,15:04:00,108774,115185,107907,111574,83
24.09.2020,15:05:00,111837,115077,108038,108275,97
24.09.2020,15:06:00,110416,115182,108123,113299,16
24.09.2020,15:07:00,113450,115158,107979,111433,16
24.09.2020,15:08:00,109468,115250,108035,112208,16
24.09.2020,15:09:00,114222,115282,107936,111013,54
24.09.2020,15:10:00,112630,115237,108075,111731,36
24.09.2020,15:11:00,109009,114858,107947,110154,73
24.09.2020,15:12:00,113324,115290,108054,108659,86
24.09.2020,15:13:00,111058,115223,107930,113854,88
24.09.2020,15:14:00,113713,115064,108100,110643,35
24.09.2020,15:15:00,114883,115235,107900,108473,89
24.09.2020,15:16:00,108308,115193,108029,109206,88
24.09.2020,15:17:00,113936,115293,107972,114423,85
24.09.2020,15:18:00,112238,115286,107963,112344,38
24.09.2020,15:19:00,109843,114979,107923,114530,8
24.09.2020,15:20:00,114663,115183,107991,112686,61
24.09.2020,15:21:00,109797,115277,107949,114012,6
24.09.2020,15:22:00,110537,114939,107903,112084,53
24.09.2020,15:23:00,114864,115267,108121,112985,86
24.09.2020,15:24:00,108701,115131,108020,113844,89
24.09.2020,15:25:00,108358,115213,108100,111960,71
24.09.2020,15:26:00,110403,115102,108160,111268,10
24.09.2020,15:27:00,114789,114789,107917,113410,88
24.09.2020,15:28:00,111306,115021,108119,112878,91
24.09.2020,15:29:00,113895,115271,108033,114612,91
24.09.2020,15:30:00,108006,115012,108006,108538,46
24.09.2020,15:31:00,115129,115250,108087,110202,41
24.09.2020,15:32:00,113444,115153,107919,112735,33
24.09.2020,15:33:00,108288,115266,108031,113960,46
24.09.2020,15:34:00,108583,115244,108308,108317,33
24.09.2020,15:35:00,114273,115249,107941,108949,70
24.09.2020,15:36:00,110820,115031,107923,113329,22
24.09.2020,15:37:00,108603,115153,108097,111188,26
24.09.2020,15:38:00,113989,115255,108060,114170,96
24.09.2020,15:39:00,110456,115205,107922,114351,30
24.09.2020,15:40:00,110652,115236,107953,114883,68
24.09.2020,15:41:00,108050,115294,107952,110579,26
24.09.2020,15:42:00,109834,115060,108037,113006,40
24.09.2020,15:43:00,114926,115268,107925,111971,94
24.09.2020,15:44:00,113447,115086,107909,109531,45
24.09.2020,15:45:00,110220,115253,108240,114461,94
24.09.2020,15:46:00,109627,115275,107943,110728,49
24.09.2020,15:47:00,112435,115230,108534,110000,15
24.09.2020,15:48:00,113794,115084,108032,109857,9
24.09.2020,15:49:00,112251,115244,108096,109054,26
24.09.2020,15:50:00,110252,114856,107955,112505,94
24.09.2020,15:51:00,111837,115140,108135,114453,67
24.09.2020,15:52:00,113091,115214,107976,112791,88
24.09.2020,15:53:00,113739,115236,107971,108416,95
24.09.2020,15:54:00,113935,114906,107903,113138,2
24.09.2020,15:55:00,112130,115143,107967,107967,59
24.09.2020,15:56:00,110982,115137,107914,113026,26
24.09.2020,15:57:00,108903,115090,108064,112774,44
24.09.2020,15:58:00,112206,115280,108147,110956,75
24.09.2020,15:59:00,114484,115139,108369,111652,80
24.09.2020,16:00:00,112028,115142,107947,110573,60
24.09.2020,16:01:00,108019,115268,107958,113006,92
24.09.2020,16:02:00,109302,115297,107975,108038,22
24.09.2020,16:03:00,109618,115276,108017,114312,61
24.09.2020,16:04:00,111751,115291,107900,112665,10
24.09.2020,16:05:00,113669,115079,108169,113547,56
24.09.2020,16:06:00,110945,115170,107926,109530,88
24.09.2020,16:07:00,108378,115297,108036,109850,53
24.09.2020,16:08:00,109686,115154,107917,114293,56
24.09.2020,16:09:00,113637,115137,107985,114305,30
24.09.2020,16:10:00,109285,115150,108201,112373,42
24.09.2020,16:11:00,112979,115270,108013,112866,81
24.09.2020,16:12:00,108607,115298,107924,110376,82
24.09.2020,16:13:00,113835,115298,108265,110043,74
24.09.2020,16:14:00,110771,115297,107901,107901,50
24.09.2020,16:15:00,111755,115026,107975,114737,62
24.09.2020,16:16:00,111311,115299,108168,113332,52
24.09.2020,16:18:00,114547,115130,108253,114963,1
24.09.2020,16:19:00,111643,115292,108038,114729,96
24.09.2020,16:20:00,110418,115256,107928,113400,18
24.09.2020,16:21:00,114435,115207,108123,112781,78
24.09.2020,16:22:00,112067,115217,107989,109977,68
24.09.2020,16:23:00,108471,115285,107991,108394,68
24.09.2020,16:24:00,114585,115156,107954,112401,42
24.09.2020,16:25:00,114135,115205,107914,112800,33
24.09.2020,16:26:00,110119,115027,107996,109241,60
24.09.2020,16:27:00,111701,115299,108008,114877,35
24.09.2020,16:28:00,113105,115231,108103,108303,17
24.09.2020,16:29:00,113941,115239,107953,113555,11
24.09.2020,16:30:00,112963,115288,107927,111878,72
24.09.2020,16:31:00,114943,115007,107993,108940,26
24.09.2020,16:32:00,113348,115065,108141,109347,98
24.09.2020,16:34:00,108487,115194,107933,115184,31
24.09.2020,16:35:00,112196,114993,107905,108479,43
24.09.2020,16:36:00,110751,114884,108084,112898,69
24.09.2020,16:37:00,110859,115291,107986,110669,53
24.09.2020,16:38:00,112812,115266,108057,115266,22
24.09.2020,16:39:00,111115,115246,107940,113790,95
24.09.2020,16:40:00,111562,115292,107970,108315,21
24.09.2020,16:41:00,112745,114993,107907,110550,52
24.09.2020,16:42:00,112055,115286,108104,112327,54
24.09.2020,16:43:00,112758,115197,108181,108675,33
24.09.2020,16:44:00,108964,115211,107972,108091,46
24.09.2020,16:45:00,111591,115143,108033,108361,77
24.09.2020,16:46:00,108467,115216,107976,113537,33
24.09.2020,16:47:00,113385,115279,108232,114255,85
24.09.2020,16:48:00,110568,114838,107973,109158,91
24.09.2020,16:49:00,111034,115200,107965,108429,45
24.09.2020,16:50:00,109633,115191,107965,109701,19
24.09.2020,16:51:00,115227,115279,107985,112027,10
24.09.2020,16:52:00,113891,114908,107916,111029,58
24.09.2020,16:53:00,113277,115237,107916,108077,58
24.09.2020,16:54:00,109733,115294,108074,112773,81
24.09.2020,16:55:00,109210,115176,107905,113455,37
24.09.2020,16:56:00,111409,115214,108092,114544,85
24.09.2020,16:57:00,108986,115275,107908,112078,42
24.09.2020,16:58:00,113939,115160,108627,110966,50
24.09.2020,16:59:00,114879,115036,107942,113993,91
24.09.2020,17:00:00,108130,115239,107903,112456,27
24.09.2020,17:01:00,110733,115280,107948,109618,62
24.09.2020,17:02:00,108616,115136,108036,112823,53
24.09.2020,17:03:00,108874,115255,108179,109500,54
24.09.2020,17:04:00,108264,115208,107971,108981,36
24.09.2020,17:05:00,108619,115261,108278,112398,69
24.09.2020,17:06:00,112856,115067,107930,111429,65
24.09.2020,17:07:00,114258,115267,107933,113358,45
24.09.2020,17:08:00,108561,115169,108031,112546,94
24.09.2020,17:09:00,111020,115147,108010,108635,97
24.09.2020,17:10:00,110506,115274,108066,113616,79
24.09.2020,17:12:00,109461,115197,108056,115022,5
24.09.2020,17:13:00,110692,115115,108263,109791,8
24.09.2020,17:14:00,111309,115034,107906,113764,48
24.09.2020,17:15:00,110083,115199,108104,113504,38
24.09.2020,17:16:00,111322,115138,107902,111101,70
24.09.2020,17:17:00,114982,115021,108052,111620,38
24.09.2020,17:18:00,110101,115245,107969,108840,37
24.09.2020,17:19:00,109235,115245,107949,111030,48
24.09.2020,17:20:00,109315,115206,107967,113309,12
24.09.2020,17:21:00,113452,115250,107932,110449,2
24.09.2020,17:22:00,112687,115263,108146,109824,84
24.09.2020,17:23:00,109651,115216,107917,110253,16
24.09.2020,17:24:00,113774,115260,108092,114790,17
24.09.2020,17:25:00,110030,115269,107921,114663,76
24.09.2020,17:26:00,113431,115077,108012,114576,60
24.09.2020,17:27:00,108704,115225,108312,115035,82
24.09.2020,17:28:00,112791,115095,107916,108035,9
24.09.2020,17:29:00,113070,115284,107903,115004,63
24.09.2020,17:30:00,112046,115276,107938,109920,50
24.09.2020,17:31:00,113526,115170,107986,112558,83
24.09.2020,17:32:00,111127,114878,108048,111614,85
24.09.2020,17:33:00,114863,115292,107930,114886,83
24.09.2020,17:34:00,112810,114894,107961,109767,38
24.09.2020,17:35:00,109852,115229,108215,114970,26
24.09.2020,17:36:00,113712,115223,108245,110580,56
24.09.2020,17:37:00,110602,115281,108138,112374,38
24.09.2020,17:38:00,111167,115262,108007,112277,3
24.09.2020,17:39:00,114381,115289,107962,114128,1
24.09.2020,17:40:00,109276,115259,107916,108227,54
24.09.2020,17:41:00,111389,115254,108017,108836,22
24.09.2020,17:42:00,110729,115251,108024,114626,97
24.09.2020,17:43:00,113219,115214,108035,108154,30
24.09.2020,17:44:00,113078,115091,107987,115091,67
24.09.2020,17:45:00,113041,115178,108032,112647,75
24.09.2020,17:46:00,109407,115158,108142,111992,8
24.09.2020,17:47:00,110734,115194,107906,112353,13
24.09.2020,17:48:00,111458,115299,107929,115299,50
24.09.2020,17:49:00,113135,115250,108293,108499,55
24.09.2020,17:50:00,109761,115246,108393,114686,20
24.09.2020,17:51:00,108485,115111,108110,114137,11
24.09.2020,17:52:00,111277,115009,107921,114685,74
24.09.2020,17:53:00,108259,115237,107954,111059,37
24.09.2020,17:54:00,114212,115263,107919,107921,51
24.09.2020,17:55:00,112492,115275,108215,112093,50
24.09.2020,17:56:00,111601,115113,107910,114992,86
24.09.2020,17:57:00,111361,115286,107951,111026,89
24.09.2020,17:58:00,112843,115171,107913,110964,28
24.09.2020,17:59:00,114287,115175,107952,112480,60
24.09.2020,18:00:00,108729,115278,108040,113103,35
24.09.2020,18:01:00,108172,115073,107950,112176,50
24.09.2020,18:02:00,110645,115299,108130,113964,49
24.09.2020,18:03:00,111258,115232,108071,110958,95
24.09.2020,18:04:00,112364,115295,107932,115295,66
24.09.2020,18:05:00,113282,115215,108074,108687,31
24.09.2020,18:06:00,109868,115245,108069,109131,91
24.09.2020,18:07:00,110357,115212,107953,110512,91
24.09.2020,18:08:00,110560,115283,107925,112254,60
24.09.2020,18:09:00,109830,115196,108191,109804,95
24.09.2020,18:10:00,113491,115173,107944,114939,76
24.09.2020,18:11:00,112054,115247,107917,108174,13
24.09.2020,18:12:00,113575,115283,108037,111724,46
24.09.2020,18:13:00,113209,115298,108128,113140,91
24.09.2020,18:14:00,109550,115220,107948,112171,97
24.09.2020,18:15:00,114583,115252,108007,114776,55
24.09.2020,18:16:00,109310,115187,108025,111439,74
24.09.2020,18:17:00,115042,115135,108013,109760,62
24.09.2020,18:18:00,111954,115298,107974,111751,94
24.09.2020,18:19:00,109041,115163,108059,108251,10
24.09.2020,18:20:00,109137,115291,108036,108237,54
24.09.2020,18:21:00,114647,115239,108139,113991,50
24.09.2020,18:22:00,108227,115105,107999,110823,25
24.09.2020,18:23:00,111866,115236,108072,112959,69
24.09.2020,18:24:00,112793,115164,107931,113441,59
24.09.2020,18:25:00,109078,115135,108075,108767,82
24.09.2020,18:27:00,114280,115008,107947,113093,16
24.09.2020,18:28:00,113814,115179,107954,113045,21
24.09.2020,18:29:00,110933,115292,108028,109167,5
24.09.2020,18:30:00,113756,115243,107943,109506,8
24.09.2020,18:31:00,111784,115299,108067,108329,31
24.09.2020,18:32:00,109259,115271,107949,110971,1
24.09.2020,18:33:00,114836,115244,107920,114387,86
24.09.2020,18:34:00,108561,115299,108092,110910,74
24.09.2020,18:35:00,111300,115201,108029,109309,40
24.09.2020,18:36:00,114208,115298,108323,109604,69
24.09.2020,18:37:00,112280,115283,107900,112867,55
24.09.2020,18:39:00,112531,115057,107944,113977,6
24.09.2020,18:40:00,109055,115175,108124,115175,3
24.09.2020,18:41:00,112003,115273,107954,113590,18
24.09.2020,18:42:00,111802,115098,108330,109256,47
24.09.2020,18:43:00,115213,115213,108003,108250,35
24.09.2020,18:44:00,109129,115269,108228,109509,30
24.09.2020,18:45:00,109030,115298,108013,115099,11
24.09.2020,18:46:00,114692,115250,107900,110535,54
24.09.2020,18:47:00,108420,115224,107941,109449,87
24.09.2020,18:48:00,113483,114593,108040,110570,18
24.09.2020,18:49:00,112631,115118,108032,114038,96
24.09.2020,18:50:00,113976,115227,108245,110049,12
24.09.2020,18:51:00,114431,115267,108317,111928,42
24.09.2020,18:52:00,113516,115101,108063,108791,50
24.09.2020,18:53:00,113791,115181,108126,113439,24
24.09.2020,18:54:00,114543,115114,108061,112838,80
24.09.2020,18:55:00,115221,115221,108043,114711,25
24.09.2020,18:56:00,110108,115268,107942,112609,29
24.09.2020,18:57:00,110829,114785,108043,111277,46
24.09.2020,18:58:00,114338,115188,108005,108650,23
24.09.2020,18:59:00,114131,115164,107901,107901,92
24.09.2020,19:00:00,112206,115185,108196,115185,48
24.09.2020,19:01:00,115135,115201,107927,112246,20
24.09.2020,19:02:00,112422,115076,107990,112460,28
24.09.2020,19:03:00,109880,115227,107902,113392,70
24.09.2020,19:04:00,108319,115282,108029,110031,64
24.09.2020,19:05:00,111224,115205,107946,112789,78
24.09.2020,19:06:00,109899,115185,107993,110076,16
24.09.2020,19:07:00,110170,115237,108115,114789,76
24.09.2020,19:08:00,113064,115293,108043,115293,10
24.09.2020,19:09:00,113437,115058,108016,113829,73
24.09.2020,19:10:00,110069,114963,107915,114468,29
24.09.2020,19:11:00,114559,115187,107923,113731,16
24.09.2020,19:12:00,114046,115290,108232,115039,4
24.09.2020,19:13:00,111887,115202,107903,110161,83
24.09.2020,19:14:00,111731,115258,108185,112568,31
24.09.2020,19:15:00,113137,115178,107996,108792,73
24.09.2020,19:16:00,113795,115273,108057,110274,49
24.09.2020,19:17:00,111529,115277,108178,112698,88
24.09.2020,19:18:00,110352,115114,108000,109448,36
24.09.2020,19:19:00,110535,115280,108043,114659,31
24.09.2020,19:20:00,114566,115286,107915,110577,67
24.09.2020,19:21:00,108817,115214,107986,109009,91
24.09.2020,19:22:00,110692,115271,108033,108577,23
24.09.2020,19:23:00,114446,115172,108003,112258,58
24.09.2020,19:24:00,112807,115041,107984,109451,29
24.09.2020,19:25:00,108879,115142,107982,111900,25
24.09.2020,19:26:00,109368,115179,108126,113483,20
24.09.2020,19:28:00,115189,115189,107905,111311,62
24.09.2020,19:29:00,112472,115282,107985,114486,18
24.09.2020,19:30:00,114452,115161,108020,111818,32
24.09.2020,19:31:00,112532,115293,108013,115293,62
24.09.2020,19:32:00,112270,115062,108032,109843,27
24.09.2020,19:33:00,108109,115200,108054,109779,40
24.09.2020,19:34:00,108828,115249,107964,112226,16
24.09.2020,19:35:00,111741,115125,108020,111450,36
24.09.2020,19:36:00,115112,115215,107990,114593,31
24.09.2020,19:37:00,113982,115299,108171,110350,25
24.09.2020,19:38:00,110608,115273,107965,112663,83
24.09.2020,19:39:00,107907,115204,107907,108873,88
24.09.2020,19:40:00,115049,115120,107958,108408,9
24.09.2020,19:41:00,111414,115260,108464,115260,63
24.09.2020,19:42:00,113974,115246,107982,114380,54
24.09.2020,19:43:00,113234,114586,107915,109918,80
24.09.2020,19:44:00,113261,115132,108097,113625,44
24.09.2020,19:45:00,111758,115293,107977,109696,68
24.09.2020,19:46:00,109948,115175,108334,111050,42
24.09.2020,19:47:00,108972,115282,107951,112633,20
24.09.2020,19:48:00,109395,115096,107958,107994,10
24.09.2020,19:49:00,114971,114980,107964,109180,44
24.09.2020,19:50:00,111554,115207,107922,111637,9
24.09.2020,19:51:00,113601,115287,108017,114713,7
24.09.2020,19:52:00,108564,115268,108030,110404,25
24.09.2020,19:53:00,114336,115216,108051,110556,36
24.09.2020,19:54:00,114104,115292,108133,108264,12
24.09.2020,19:55:00,109027,115136,108023,110896,79
24.09.2020,19:56:00,113530,115228,107918,108959,2
24.09.2020,19:57:00,109942,115270,108055,111324,43
24.09.2020,19:58:00,108426,115244,108067,114560,46
24.09.2020,19:59:00,113950,115251,108357,115157,88
24.09.2020,20:00:00,109307,115293,107940,115029,53
25.09.2020,10:00:00,114376,115290,108202,109192,24
25.09.2020,10:01:00,109654,114668,107963,113799,21
25.09.2020,10:02:00,111332,115209,107909,113262,2
25.09.2020,10:03:00,112122,115128,108048,113424,74
25.09.2020,10:05:00,113087,115263,107936,110883,73
25.09.2020,10:06:00,113060,115228,107922,108882,93
25.09.2020,10:07:00,110197,115296,108615,113568,65
25.09.2020,10:08:00,113505,115242,107929,109996,44
25.09.2020,10:09:00,112633,115180,107911,114986,77
25.09.2020,10:10:00,110248,114848,107935,114086,10
25.09.2020,10:11:00,111028,115130,107990,111674,23
25.09.2020,10:12:00,110265,115295,107948,109869,88
25.09.2020,10:13:00,110841,115021,108070,109171,76
25.09.2020,10:14:00,109791,115228,107948,109521,8
25.09.2020,10:15:00,114790,115076,108297,110417,74
25.09.2020,10:16:00,110929,115129,107920,113171,31
25.09.2020,10:17:00,109583,115292,107911,110814,78
25.09.2020,10:18:00,111086,115248,107922,113808,8
25.09.2020,10:19:00,111994,114900,108103,112437,83
25.09.2020,10:20:00,108823,115254,108009,111673,46
25.09.2020,10:21:00,109454,115221,108139,114085,67
25.09.2020,10:22:00,114171,115198,108035,111153,6
25.09.2020,10:23:00,109386,115135,108075,110404,54
25.09.2020,10:24:00,113959,115177,107922,108911,74
25.09.2020,10:25:00,113953,115015,107990,114182,67
25.09.2020,10:26:00,112514,114766,107931,112693,15
25.09.2020,10:27:00,115173,115173,108142,114370,90
25.09.2020,10:28:00,110216,115213,107905,108085,41
25.09.2020,10:29:00,109827,115272,107902,113655,40
25.09.2020,10:30:00,111069,115287,108019,108019,4
25.09.2020,10:31:00,108215,115230,107933,113900,82
25.09.2020,10:32:00,109385,115229,107967,110712,74
25.09.2020,10:33:00,110592,115249,107923,113566,27
25.09.2020,10:34:00,111882,115131,107902,109185,7
25.09.2020,10:35:00,114388,115283,107905,112671,69
25.09.2020,10:36:00,112959,115022,107915,112466,51
25.09.2020,10:37:00,115185,115205,108010,110988,4
25.09.2020,10:38:00,114949,115212,108275,114855,20
25.09.2020,10:39:00,114010,115293,108207,114424,78
25.09.2020,10:40:00,109546,115172,108045,109015,65
25.09.2020,10:41:00,110017,115192,107995,108600,34
25.09.2020,10:42:00,110815,115198,108070,112586,65
25.09.2020,10:43:00,112523,115142,108073,112891,2
25.09.2020,10:44:00,110534,115286,108040,114185,80
25.09.2020,10:45:00,113073,114934,108054,114116,30
25.09.2020,10:46:00,115064,115267,108135,115228,50
25.09.2020,10:47:00,114493,115219,108031,114373,11
25.09.2020,10:48:00,110058,115226,107903,108884,33
25.09.2020,10:49:00,108627,115182,108118,109938,15
25.09.2020,10:50:00,108223,115156,107980,111543,97
25.09.2020,10:51:00,111959,115288,107900,108073,41
25.09.2020,10:52:00,112559,115187,107916,111692,17
25.09.2020,10:53:00,110695,114997,108038,111203,48
25.09.2020,10:54:00,110788,115184,108221,114776,64
25.09.2020,10:55:00,110585,115041,107908,108874,33
25.09.2020,10:56:00,111291,115270,108083,113114,3
25.09.2020,10:57:00,113399,115180,107977,107977,1
25.09.2020,10:58:00,108556,115188,107908,108897,29
25.09.2020,10:59:00,108959,115121,107941,111801,16
25.09.2020,11:00:00,114651,115215,108054,110094,80
25.09.2020,11:01:00,112527,115239,107902,113082,82
25.09.2020,11:02:00,112513,115206,107941,112377,98
25.09.2020,11:03:00,113733,115298,107932,114490,44
25.09.2020,11:04:00,112713,115264,108018,114927,64
25.09.2020,11:05:00,111338,115256,108142,110472,39
25.09.2020,11:06:00,112927,115195,107974,111455,74
25.09.2020,11:07:00,112373,115295,108038,109892,20
25.09.2020,11:08:00,111242,115147,107954,114352,45
25.09.2020,11:09:00,108772,115220,108092,112734,79
25.09.2020,11:10:00,114463,115257,108087,108090,19
25.09.2020,11:11:00,115087,115285,107989,109342,37
25.09.2020,11:12:00,111966,115297,107989,115285,53
25.09.2020,11:13:00,111517,115021,108004,113455,19
25.09.2020,11:14:00,114471,115165,107959,115062,78
25.09.2020,11:15:00,115173,115191,107974,114278,96
25.09.2020,11:16:00,113527,115141,107924,109648,8
25.09.2020,11:17:00,108449,115290,107907,107950,4
25.09.2020,11:18:00,109319,114833,108137,111248,25
25.09.2020,11:19:00,108431,115275,107904,113257,36
25.09.2020,11:20:00,112828,115156,107909,112512,20
25.09.2020,11:21:00,114699,115233,108103,114265,72
25.09.2020,11:22:00,109283,115263,107939,113468,42
25.09.2020,11:23:00,113599,115292,107902,113710,65
25.09.2020,11:24:00,112843,115207,108000,114785,89
25.09.2020,11:25:00,110194,115262,107905,113723,24
25.09.2020,11:26:00,110323,115113,108128,113615,1
25.09.2020,11:27:00,111163,115247,107938,112289,62
25.09.2020,11:28:00,109073,115089,107986,114856,68
25.09.2020,11:29:00,112847,114937,108012,108330,22
25.09.2020,11:30:00,114140,115157,108034,113943,11
25.09.2020,11:31:00,112516,115259,107966,110643,55
25.09.2020,11:32:00,110922,115197,108130,114770,87
25.09.2020,11:33:00,109188,115205,108130,111875,10
25.09.2020,11:34:00,110156,115036,107938,114763,42
25.09.2020,11:35:00,114715,115288,107959,113540,51
25.09.2020,11:36:00,110117,115230,107996,115230,25
25.09.2020,11:37:00,110472,115235,107962,114605,82
25.09.2020,11:38:00,114802,115187,107903,110276,19
25.09.2020,11:39:00,111349,115213,108029,108279,10
25.09.2020,11:40:00,109289,115058,107916,111496,39
25.09.2020,11:41:00,109159,115175,107962,113001,96
25.09.2020,11:42:00,114306,115284,107949,113318,48
25.09.2020,11:43:00,108525,115274,107992,111061,60
25.09.2020,11:44:00,114439,115043,107902,108056,39
25.09.2020,11:45:00,108447,115270,107909,111119,72
25.09.2020,11:46:00,108095,115257,108048,111738,10
25.09.2020,11:47:00,109347,115141,108351,112475,97
25.09.2020,11:48:00,113998,115259,108024,114703,5
25.09.2020,11:49:00,114289,115013,108339,114146,21
25.09.2020,11:50:00,108581,115125,108105,108453,84
25.09.2020,11:51:00,113811,115267,107926,110117,97
25.09.2020,11:52:00,108145,115209,108012,114548,36
25.09.2020,11:53:00,113909,115285,107902,108249,94
25.09.2020,11:54:00,114912,114989,108209,113065,66
25.09.2020,11:55:00,114387,115288,107995,109064,46
25.09.2020,11:56:00,115237,115244,107913,110974,23
25.09.2020,11:57:00,109598,115291,108074,110118,80
25.09.2020,11:58:00,110383,115286,108034,109336,31
25.09.2020,11:59:00,113023,115157,107934,113961,50
25.09.2020,12:00:00,109325,115296,108062,113000,24
25.09.2020,12:01:00,110348,115277,108017,115033,54
25.09.2020,12:02:00,114591,115221,107930,113689,45
25.09.2020,12:03:00,114255,115080,107912,113266,24
25.09.2020,12:04:00,114028,114892,107950,111762,47
25.09.2020,12:05:00,113557,115239,107935,114408,57
25.09.2020,12:06:00,109843,115114,107927,109915,32
25.09.2020,12:07:00,109624,115244,107944,108502,58
25.09.2020,12:08:00,108835,115087,108420,114854,83
25.09.2020,12:09:00,109035,115166,107972,108301,27
25.09.2020,12:10:00,108456,115254,107911,111958,47
25.09.2020,12:11:00,111961,115253,107968,109345,61
25.09.2020,12:12:00,108055,114524,108055,111011,45
25.09.2020,12:13:00,113018,115104,108115,111475,95
25.09.2020,12:14:00,112968,115271,108118,112003,89
25.09.2020,12:15:00,108314,115148,107957,111825,17
25.09.2020,12:16:00,114737,114871,107927,114017,12
25.09.2020,12:17:00,109221,115254,107921,110769,68
25.09.2020,12:18:00,115000,115225,107908,109361,68
25.09.2020,12:19:00,108824,115027,107960,109676,76
25.09.2020,12:20:00,110844,115153,107989,114472,51
25.09.2020,12:21:00,109565,115104,107962,110631,69
25.09.2020,12:22:00,110990,115207,108035,109938,78
25.09.2020,12:23:00,112581,115237,107925,109345,87
25.09.2020,12:24:00,108993,115222,107927,111184,11
25.09.2020,12:25:00,109917,115096,107922,110349,41
25.09.2020,12:26:00,108558,115163,108013,108422,16
25.09.2020,12:27:00,111209,115122,107966,113828,36
25.09.2020,12:28:00,111227,115267,107906,114020,52
25.09.2020,12:29:00,113175,115147,108077,111719,23
25.09.2020,12:30:00,115286,115286,107976,114863,54
25.09.2020,12:31:00,109009,115173,108052,114961,58
25.09.2020,12:32:00,114818,115184,107937,108900,45
25.09.2020,12:33:00,110148,115142,108048,115142,14
25.09.2020,12:34:00,114205,115265,108173,112631,65
25.09.2020,12:35:00,114978,115283,108050,109931,55
25.09.2020,12:36:00,112992,115174,108246,108441,17
25.09.2020,12:37:00,112047,115205,108025,110586,60
25.09.2020,12:38:00,108420,115279,108190,113985,83
25.09.2020,12:39:00,109473,115058,108189,108440,8
25.09.2020,12:40:00,111824,115164,107925,110665,84
25.09.2020,12:41:00,114423,115186,108308,108628,75
25.09.2020,12:42:00,114579,115212,107922,107922,13
25.09.2020,12:43:00,115273,115273,108088,114871,44
25.09.2020,12:44:00,111399,115125,108089,108158,74
25.09.2020,12:45:00,109444,115174,107980,111786,63
25.09.2020,12:46:00,113662,115232,107981,109613,57
25.09.2020,12:47:00,110678,115205,107908,109781,31
25.09.2020,12:48:00,109110,115180,107995,108145,65
25.09.2020,12:49:00,113485,114936,108160,110208,95
25.09.2020,12:50:00,111325,114985,107967,111052,28
25.09.2020,12:51:00,113176,115116,107976,112030,91
25.09.2020,12:52:00,109700,115176,107932,111266,17
25.09.2020,12:53:00,111667,115107,108367,110052,26
25.09.2020,12:54:00,108236,115153,107949,109722,91
25.09.2020,12:55:00,110443,115252,108025,109179,21
25.09.2020,12:56:00,113066,115125,108017,110270,56
25.09.2020,12:57:00,115031,115231,107908,108376,40
25.09.2020,12:58:00,111811,115080,108010,111005,1
25.09.2020,12:59:00,114880,115123,107944,111968,40
25.09.2020,13:00:00,113730,115280,107934,110359,65
25.09.2020,13:01:00,113202,115299,108207,111760,75
25.09.2020,13:02:00,111612,115183,107917,113623,61
25.09.2020,13:03:00,110039,115103,107900,107900,12
25.09.2020,13:04:00,110593,115134,107948,114578,40
25.09.2020,13:05:00,115141,115295,107942,108889,69
